Time PerformanceValue
100.0 285.16999999999996
200.0 128.195
300.0 87.252
400.0 68.374
500.0 53.646
600.0 46.29
700.0 39.671
800.0 36.108999999999995
900.0 33.369
1000.0 30.404000000000003
1100.0 28.154
1200.0 26.436999999999998
1300.0 24.201999999999998
1400.0 22.773
1500.0 21.637
1500.0 21.758000000000003
2000.0 17.689999999999998
2500.0 15.517
3000.0 13.147
3500.0 12.424
4000.0 11.158000000000001
4500.0 10.276
5000.0 9.64
5500.0 9.102
6000.0 9.243
6500.0 8.55
7000.0 8.207
7500.0 8.042
8000.0 7.792
8500.0 7.731
9000.0 7.452999999999999
9500.0 7.425000000000001
10000.0 7.382999999999999
15000.0 6.398999999999999
20000.0 6.4079999999999995
25000.0 6.32
30000.0 6.314
